卷	卷 🥙 🌮 🌯
帽	帽 👒 🧢 🎩 🎓 ⛑
肉	肉 🥩 🥓 🍗 🍖 🍤
包	包 👝 👛 👜 💼 🧳 🎒
叶	叶 🍃 🍂 🍁 🌱 🌿 🥬
奖	奖 🏅 🎖 🥇 🥈 🥉 🏆
酒	酒 🍷 🥃 🍺 🍶 🍾 🍸
鞋	鞋 👡 👢 👞 👟 🥾 🥿 👠
鱼	鱼 🐠 🐟 🐡 🐬 🐳 🐋 🦈
禽	禽 🦆 🐓 🦃 🐔 🐤 🐣 🐥 🦚
花	花 🌸 🌺 🌼 🌻 🌷 🌹 💐 🥀
菜	菜 🍅 🍆 🥒 🥕 🌶 🥦 🥗 🥬
饭	饭 🍛 🍲 🍝 🍜 🥘 🍣 🍱 🍘 🍙 🍚 🥡
鸟	鸟 🦆 🦅 🦉 🦇 🐓 🦃 🕊 🐧 🐦 🦚 🦜 🦩
车	车 🚗 🚕 🚙 🚌 🚎 🏎 🚓 🚑 🚒 🚐 🚚 🚛 🚔 🚍 🚘 🚖 🛺
船	船 🚢 ⛴ 🛳 🛥 🚤 ⛵️ 🛶 ⚓️
夜	夜 🌙 💫 ⭐️ 🌟 ✨ 🌛 🌜
球	球 ⚽️ 🏀 🏈 🏐 🏉 ⚾ 🥎️ 🎾 🎱 🪀 🏓 🏸 🏒 🏑 🏏 🛹 🥍
雪	雪 ❄️ 🌨 ☃️ ⛄️ 🧊
串点	串点 🍢 🍡
眼镜	眼镜 👓 🕶 🥽
发型	发型 🦲 🦰 🦱 🦳
发色	发色 🦲 🦰 🦱 🦳
外汇	外汇 💵 💶 💷 💴
纸币	纸币 💵 💶 💷 💴
货币	货币 💵 💶 💷 💴
帽子	帽子 👒 🧢 🎩 🎓 ⛑
怪物	怪物 🦄 🤖 👾 👹 👺
日料	日料 🍥 🍣 🍱 🍙 🍘
日用	日用 🧴 🧼 🧻 🧽 💄
粗粮	粗粮 🌽 🥔 🍠 🥜 🌰
肤色	肤色 🏻 🏼 🏽 🏾 🏿
餐具	餐具 🥄 🍴 🍽 🥣 🥢
公交	公交 🚌 🚎 🚍 🚈 🚇 🚊
奖项	奖项 🏅 🎖 🥇 🥈 🥉 🏆
快餐	快餐 🍔 🌭 🍟 🥞 🥡 🥫
火车	火车 🚄 🚅 🚝 🚆 🚂 🚉
零食	零食 🍭 🍬 🍫 🍿 🍩 🍪
乐器	乐器 🎻 🎸 🎹 🎷 🎺 🥁 🪕
城轨	城轨 🚈 🚇 🚊 🚞 🚋 🚃 🚟
面包	面包 🍞 🥐 🥖 🥨 🥯 🍩 🥮
鞋子	鞋子 👡 👢 👞 👟 🥾 🥿 👠
中餐	中餐 🍜 🍚 🍲 🥘 🥟 🥠 🥡 🥢
午餐	午餐 🥘 🍜 🍲 🍛 🍝 🍱 🍚 🥗
月相	月相 🌕 🌖 🌗 🌘 🌑 🌒 🌓 🌔
正餐	正餐 🥘 🍜 🍲 🍛 🍝 🍱 🍚 🥗
蔬菜	蔬菜 🍅 🍆 🥒 🥕 🌶 🥦 🥗 🥬
名胜	名胜 🗽 🏰 🗼 🗻 🏯 🏝 🏖 🌁 🌉 🏞
早点	早点 🍳 🥚 🧀 🥖 🥛 🍯 🥪 🥫 🥯 🧇
早餐	早餐 🍳 🥚 🧀 🥖 🥛 🍯 🥪 🥫 🥯 🧇
景点	景点 🗽 🏰 🗼 🗻 🏯 🏝 🏖 🌁 🌉 🏞
牲畜	牲畜 🐄 🐃 🐂 🐐 🐏 🐖 🐑 🐕 🐩 🐈
甜点	甜点 🍮 🍩 🍪 🍧 🍨 🍦 🍰 🧁 🧇 🧆
畜牲	畜牲 🐄 🐃 🐂 🐐 🐏 🐖 🐑 🐕 🐩 🐈
甜食	甜食 🍯 🍰 🍮 🎂 🍭 🍬 🍫 🍩 🍪 🍦 🧁
服装	服装 🧥 👚 👕 👖 🩳 👔 👗 👘 🥻 🩲 👙 🩱 🥼
服饰	服饰 🧥 👚 👕 👖 🩳 👔 👗 👘 🥻 🩲 👙 🩱 🥼
衣服	衣服 🧥 👚 👕 👖 🩳 👔 👗 👘 🥻 🩲 👙 🩱 🥼
娱乐	娱乐 🎮 🎰 🎲 🎯 🎳 🎧 🎤 🎪 🎫 🎟 ♟ 🕹 🖲 🪀
西餐	西餐 🍕 🥓 🧀 🥖 🥐 🍝 🌯 🌮 🥙 🍟 🍔 🌭 🥞 🥪 🥯 🧇
水果	水果 🍏 🍎 🍐 🍊 🍋 🍌 🍉 🍇 🍓 🍈 🍒 🍑 🍍 🥝 🥑 🥥 🥭
汽车	汽车 🚗 🚕 🚙 🚌 🚎 🏎 🚓 🚑 🚒 🚐 🚚 🚛 🚔 🚍 🚘 🚖 🛺
生肖	生肖 🐁 🐀 🐂 🐃 🐄 🐅 🐆 🐇 🐈 🐉 🐊 🐋 🐌 🐍 🐎 🐏 🐐 🐑 🐒 🦃 🐓 🐕 🐖 🐗 🐘
动物	动物 🦆 🦅 🦉 🦇 🐺 🐗 🦄 🐴 🐝 🐛 🐞 🦟 🐚 🐌 🦋 🐜 🕷 🐢 🐍 🦎 🦂 🦀 🦑 🐙 🦐 🦞 🦪 🐠 🐟 🐡 🐬 🦈 🐋 🐊 🐆 🐅 🐃 🐂 🐄 🦌 🐪 🐫 🐘 🦏 🦍 🦧 🐎 🐖 🐐 🐏 🐑 🐕 🐩 🐈 🐓 🦃 🕊 🦩 🐇 🐁 🐀 🐿 🐉 🐒 🦖 🦕 🦡 🦝 🦨 🦦 🦥 🦢 🦜 🦚 🦙 🦛
植物	植物 🌲 🌳 🎄 🌵 🌴 🌱 🌿 ☘️ 🍀 🎍 🌾 🥬
圆型	圆型 🔴 🟠 🟡 🟢 🔵 🟣 🟤 ⚫️ ⚪️
