AB型血	AB型血 🆎️️
A型血	A型血 🅰️️
B型血	B型血 🅱️️
DNA	DNA 🧬
O型血	O型血 🅾️️
〇	〇 0️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
㡌	㡌 🧢
乳	乳 🥛
冰	冰 🧊
冻	冻 🥶
切	切 🤪
勺	勺 🥄
匙	匙 🥄
吐	吐 🤮
咦	咦 🤨
嘘	嘘 🤫
奶	奶 🥛
操	操 🤬
斧	斧 🪓
杖	杖 🦯
杧	杧 🥭
枭	枭 🦉
椰	椰 🥥
橙	橙 🟧
派	派 🥧
烫	烫 🥵
牙	牙 🦷
犀	犀 🦏
狐	狐 🦊
猥	猥 🦔
猿	猿 🦧
獾	獾 🦡
皂	皂 🧼
盐	盐 🧂
砖	砖 🧱
硴	硴 🦪
碗	碗 🥣
筷	筷 🥢
箸	箸 🥢
篮	篮 🧺
紫	紫 🟪
红	红 🟥
线	线 🧵
绿	绿 🟩
脑	脑 🧠
菜	菜 🥬
蒜	蒜 🧄
蓝	蓝 🟦
藻	藻 🦠
虾	虾 🦐
蚊	蚊 🦟
蚝	蚝 🦪
蛋	蛋 🥚
蜥	蜥 🦎
蝠	蝠 🦇
蝶	蝶 🦋
袜	袜 🧦
诶	诶 🤨
貂	貂 🦡
赤	赤 🟥
青	青 🟦
饺	饺 🥟
馕	馕 🥙
骨	骨 🦴
鱡	鱡 🦑
鲗	鲗 🦑
鲨	鲨 🦈
鸭	鸭 🦆
鹅	鹅 🦢
鹰	鹰 🦅
鹿	鹿 🦌
黄	黄 🟨
鼔	鼔 🥁
齿	齿 🦷
𪠳	𪠳 🤪
鼬	鼬 🦡 🦨
不	不 🙅🏻
乖	乖 😬️
书	书 📖️
亲	亲 😘️
仔	仔 🧒🏻
他	他 👤️
企	企 🧍🏻
伞	伞 🌂️
伤	伤 🤕️
倒	倒 🤒️
傻	傻 🐷️
兔	兔 🐇️
円	円 💴️
减	减 ➖️
刀	刀 🔪️
加	加 ➕️
十	十 🔟️
叉	叉 ❎️
口	口 👄️
吓	吓 😦️
吹	吹 🌬️
哟	哟 😯️
哦	哦 😮️
哭	哭 😭️
唇	唇 👄️
唱	唱 🎤️
唵	唵 🕉️
喊	喊 🗣️
嘴	嘴 👄️
夜	夜 🌃️
她	她 👤️
宅	宅 🏠️
家	家 🏠️
尺	尺 📏️
屁	屁 😛️
屋	屋 🏠️
屎	屎 💩️
山	山 ⛰️
岛	岛 🏝️
床	床 🛏️
弓	弓 🏹️
怒	怒 😡️
憨	憨 🐷️
捏	捏 🤏🏻
捧	捧 🤲🏻
掬	掬 🤲🏻
日	日 🌞️
朔	朔 🌑️
枝	枝 🌿️
枫	枫 🍁️
栗	栗 🌰️
桃	桃 🍑️
梨	梨 🍐️
樽	樽 🏺️
水	水 💧️
泪	泪 😭️
洞	洞 🕳️
浪	浪 🌊️
渔	渔 🎣️
溅	溅 💦️
火	火 🔥️
灯	灯 💡️
烟	烟 🚬️
熊	熊 🐻️
牛	牛 🐂️
犬	犬 🐕️
狮	狮 🦁️
狼	狼 🐺️
猪	猪 🐖️
猫	猫 🐈️
猴	猴 🐒️
画	画 🎨️
目	目 👁️
