〇	[〇_j]
㐀	[丨一⺊一_i_a_id_a]
㐁	[一囗人_a_jd_od]
㐂	[七七七_hd_hd_hd]
㐃	[Δ丨_zs_i]
㐄	[㐄_mb]
㐅	[㐅_os]
㐆	[⺁⺕㇆_pd_xb_y]
㐇	[九乙_qy_yda]
㐈	[入乙_oda_yda]
㐉	[丁乙_ai_yda]
㐊	[士乙_b_yda]
㐋	[土乙_b_yda]
㐌	[𠂉也_ma_yi]
㐍	[爫乙_pv_yda]
㐎	[文乙_so_yda]
㐏	[工㇕乙_bi_x_yda]
㐐	[女又乙_zm_xs_yda]
㐑	[夂⺀乙_rs_td_yda]
㐒	[刀口乙_yd_j_yda]
㐓	[丁口乙_ai_j_yda]
㐔	[亠口乙_s_j_yda]
㐕	[由乙_kia_yda]
㐖	[士口乚_b_j_z]
㐗	[耂匕乙_bm_rr_yda]
㐘	[米乙_uf_yda]
㐙	[一口䒑乙_a_j_ua_yda]
㐚	[工㇕口乙_bi_x_j_yda]
㐛	[亻𠂇口乙_n_gd_j_yda]
㐜	[{于下}∷丶九_d_v_s_qy]
㐝	[扌勹口乙_d_ry_j_yda]
㐞	[其乙_ec_yda]
㐟	[非乙_kc_yda]
㐠	[爫子乚乙_pv_ya_z_yda]
㐡	[九而大_qy_gl_gd]
㐢	[氵爫子乙_v_pv_ya_yda]
㐣	[广車乙_tg_fk_yda]
㐤	[九十{且}八_qy_ed_lc_o]
㐥	[金且力乙_p_lc_ym_yda]
㐦	[{臼}一㇞丨八手乙_nb_a_z_i_o_md_yda]
㐧	[丶乛亅丿_s_x_i_m]
㐨	[龴乛亅龴乛亅_xs_x_i_xs_x_i]
㐩	[二{丿丨}二{丿丨}_bd_nd_bd_nd]
㐪	[亠凵人_s_zi_od]
㐫	[亠㐅凵_s_os_zi]
㐬	[亠厶{巟下}_s_zs_nd]
㐭	[亠囗口_s_jd_j]
㐮	[亠八{冓上}𧘇_s_o_eb_rh]
㐯	[亠口口禾日_s_j_j_mf_k]
㐰	[亻口_n_j]
㐱	[人彡_od_pd]
㐲	[亻大_n_gd]
㐳	[亻兀_n_gr]
㐴	[亻夕_n_rs]
㐵	[亻一{于下}_n_a_d]
㐶	[亻巳_n_yyb]
㐷	[亻马_n_x]
㐸	[亻欠_n_ro]
㐹	[亻气_n_my]
㐺	[亻亻人_n_n_od]
㐻	[亻冂人_n_ld_od]
㐼	[亻丿廾_n_m_e]
㐽	[亻⺇㐅_n_qd_os]
㐾	[亻二儿_n_bd_rd]
㐿	[亻手_n_md]
㑀	[亻大丶_n_gd_s]
㑁	[亻屮凵_n_zi_zi]
㑂	[亻一冂人_n_a_ld_od]
㑃	[亻㇜厶力_n_z_zs_ym]
㑄	[亻母_n_zy]
㑅	[亻𠂉⺊一_n_ma_id_a]
㑆	[亻口儿_n_j_rd]
㑇	[亻⺈⺕_n_r_xb]
㑈	[亻{七}小_n_hd_ko]
㑉	[亻⺇一夕_n_qd_a_rs]
㑊	[亻亠{丿亅}八_n_s_nd_o]
㑋	[亻日〢_n_k_kd]
㑌	[亻匚王_n_h_c]
㑍	[亻耒_n_ck]
㑎	[亻巛山_n_zd_ll]
㑏	[亻宀寸_n_wd_ds]
㑐	[亻⺊一小_n_id_a_ko]
㑑	[亻自_n_nl]
㑒	[人一口人_od_a_j_od]
㑓	[亻厶𠂇又_n_zs_gd_xs]
㑔	[亻页_n_go]
㑕	[亻山夕_n_ll_rs]
㑖	[亻亻口丨_n_n_j_i]
㑗	[亻身_n_nc]
㑘	[亻戈廾_n_hm_e]
㑙	[亻耳乚_n_ce_z]
㑚	[亻㇆{キ}阝_n_y_bi_y]
㑛	[亻木口_n_f_j]
㑜	[亻扌斤_n_d_pd]
㑝	[亻王廾_n_c_e]
㑞	[亻火廾_n_uo_e]
㑟	[亻丘八_n_pda_o]
㑠	[亻〢又土_n_kd_xs_b]
㑡	[亻{艮}卩_n_xo_y]
㑢	[亻土厶卩_n_b_zs_y]
㑣	[亻木木_n_f_f]
㑤	[亻艹田_n_e_ki]
㑥	[亻日勹{丿丿}_n_k_ry_od]
㑦	[亻户大丶_n_wm_gd_s]
㑧	[亻禾子_n_mf_ya]
㑨	[亻口矢_n_j_ma]
㑩	[亻罒夕_n_lk_rs]
㑪	[亻文{斉下}_n_so_nd]
㑫	[亻人丶㇇心_n_od_s_x_wz]
㑬	[亻女十口_n_zm_ed_j]
㑭	[亻田一{丿丨}_n_ki_a_nd]
㑮	[亻冖車_n_ww_fk]
㑯	[亻頁_n_go]
㑰	[亻彑{乑}_n_zm_gq]
㑱	[亻龴乛亅丿木_n_xs_x_i_m_f]
㑲	[亻十{南下}_n_ed_ld]
㑳	[亻勹{艸左}勹{艸左}_n_ry_zi_ry_zi]
㑴	[亻⺕冖巾又_n_xb_ww_li_xs]
㑵	[亻疒矢_n_t_ma]
㑶	[亻氣_n_my]
㑷	[亻厶⺝匕匕_n_zs_q_rr_rr]
㑸	[亻十口丁口_n_ed_j_ai_j]
㑹	[人一由日_od_a_kia_k]
㑺	[亻隹㇡丿_n_ni_y_m]
㑻	[亻宀心丿山_n_wd_wz_m_ll]
㑼	[亻田夂口_n_ki_rs_j]
㑽	[亻⺌冖口土_n_ko_ww_j_b]
㑾	[亻{炙上}言_n_rs_s]
㑿	[亻巛日木_n_zd_k_f]
㒀	[亻亠丷{啇下}_n_s_ud_ld]
㒁	[亻囗土{幸下}_n_jd_b_ub]
㒂	[亻艹者_n_e_bm]
㒃	[亻弋二貝_n_hs_bd_lo]
㒄	[亻{炙上}大丶灬_n_rs_gd_s_uo]
㒅	[亻亠夕夕𧘇_n_s_rs_rs_rh]
㒆	[亻人一口习习_n_od_a_j_yt_yt]
㒇	[亻𠂉{無中}灬_n_ma_ea_uo]
㒈	[亻乛耳攵_n_x_ce_mo]
㒉	[亻⺌冖口木_n_ko_ww_j_f]
㒊	[亻刀丶刀丶止止_n_yd_s_yd_s_ii_ii]
㒋	[亻其斤_n_ec_pd]
㒌	[亻火火冖几_n_uo_uo_ww_qd]
㒍	[亻厶厶厶糸_n_zs_zs_zs_z]
㒎	[亻一大非_n_a_gd_kc]
㒏	[亻宀{冓上}八⺀_n_wd_eb_o_td]
㒐	[亻⺮勹日_n_m_ry_k]
㒑	[亻匚氵隹_n_h_v_ni]
㒒	[亻業_n_ku]
㒓	[亻辶土羊_n_w_b_uc]
㒔	[亻罒勹虫_n_lk_ry_i]
㒕	[亻亠㇜{亥中}隹_n_s_z_zm_ni]
㒖	[亻艹日冂{厶}_n_e_k_ld_zs]
㒗	[亻{其上}冖至_n_ec_ww_hb]
㒘	[亻臣又立_n_h_xs_su]
㒙	[亻糹白巾_n_z_nk_li]
㒚	[亻爫工⺕心_n_pv_bi_xb_wz]
㒛	[亻习习隹_n_yt_yt_ni]
㒜	[亻{臼}一㇞丨八_n_nb_a_z_i_o]
㒝	[亻艹罒戊丶_n_e_lk_hm_s]
㒞	[亻山隹丨㇅丨㇆_n_ll_ni_i_y_i_y]
㒟	[亻亠馬𧘇_n_s_cu_rh]
㒠	[亻⺊夕又非一_n_id_rs_xs_kc_a]
㒡	[亻爫𠂉十凵丿糸_n_pv_ma_ed_zi_m_z]
㒢	[亻人一口口口{扁下}_n_od_a_j_j_j_ld]
㒣	[亻广亻隹心_n_tg_n_ni_wz]
㒤	[亻耳耳耳_n_ce_ce_ce]
㒥	[亻豐_n_ci]
㒦	[亻田田田土_n_ki_ki_ki_b]
㒧	[亻亠㐅凵冂厶隹_n_s_os_zi_ld_zs_ni]
㒨	[亻⺽{囟框}㐅大巳_n_nb_nj_os_gd_yyb]
㒩	[亻彑{乑}虫虫_n_zm_gq_i_i]
㒪	[人臣臣止豕_od_h_h_ii_gq]
㒫	[一⺊兀_a_id_gr]
㒬	[二儿王_bd_rd_c]
㒭	[口儿口儿_j_rd_j_rd]
㒮	[二儿豕_bd_rd_gq]
㒯	[⺌兀艹一卄キ_ko_gr_e_a_e_bi]
㒰	[入工_oda_bi]
㒱	[入夕_oda_rs]
㒲	[入日_oda_k]
㒳	[冂丨入入_ld_i_oda_oda]
㒴	[入屮凵_oda_zi_zi]
㒵	[白八_nk_o]
㒶	[八白_o_nk]
㒷	[{𠔿}一八_ld_a_o]
㒸	[丷豕_ud_gq]
㒹	[十{且}八十{且}八_ed_lc_o_ed_lc_o]
㒺	[冂䒑㇗人_ld_ua_z_od]
㒻	[⺜見_k_lr]
㒼	[廿巾入入_ea_li_oda_oda]
㒽	[⺜龹㔾_k_ub_yyb]
㒾	[⺜方𠂉也_k_sy_ma_yi]
㒿	[⺜亠㐅凵冂厶隹_k_s_os_zi_ld_zs_ni]
㓀	[冖卜_ww_id]
㓁	[冖八_ww_o]
㓂	[冖二儿女_ww_bd_rd_zm]
㓃	[冖言丿七_ww_s_m_hd]
㓄	[厶厶厶人彡冖儿_zs_zs_zs_od_pd_ww_rd]
㓅	[冫丁_td_ai]
㓆	[冫人匕_td_od_rr]
㓇	[冫丿大_td_m_gd]
㓈	[冫石_td_g]
㓉	[冫舌_td_mi]
㓊	[冫同_td_ld]
㓋	[冫龷八_td_ea_o]
㓌	[冫人王_td_od_c]
㓍	[冫亠厶儿_td_s_zs_rd]
㓎	[冫⺕冖又_td_xb_ww_xs]
㓏	[冫{冏}_td_ld]
㓐	[冫土八土_td_b_o_b]
㓑	[冫土{幸下}_td_b_ub]
㓒	[冫七人⺗_td_hd_od_u]
㓓	[冫十{南下}_td_ed_ld]
㓔	[冫身寸_td_nc_ds]
㓕	[冫戊一火_td_hm_a_uo]
㓖	[冫日卄キ_td_k_e_bi]
㓗	[冫丰刀糸_td_ci_yd_z]
㓘	[⺇一夕玉_qd_a_rs_cs]
㓙	[文凵_so_zi]
㓚	[工刂_bi_kd]
㓛	[工刀_bi_yd]
㓜	[㇜厶刀_z_zs_yd]
㓝	[二{丿丨}刂_bd_nd_kd]
㓞	[丰刀_ci_yd]
㓟	[皮刂_xi_kd]
㓠	[⺊口刂_id_j_kd]
㓡	[𠂉十凵刂_ma_ed_zi_kd]
㓢	[夂口刂_rs_j_kd]
㓣	[人一口刂_od_a_j_kd]
㓤	[士口刂_b_j_kd]
㓥	[⺌⺕刂_ko_xb_kd]
㓦	[一白刂_a_nk_kd]
㓧	[人丶㇇口刂_od_s_x_j_kd]
㓨	[大人人刂_gd_od_od_kd]
㓩	[⺈{用}刂_r_ld_kd]
㓪	[丶{艮}刀_s_xo_yd]
㓫	[大一廾刂_gd_a_e_kd]
㓬	[龹刀刂_ub_yd_kd]
㓭	[日匃刂_k_ry_kd]
㓮	[⺆土口刂_ld_b_j_kd]
㓯	[巛田刂_zd_ki_kd]
㓰	[一由凵刂_a_kia_zi_kd]
㓱	[人一⺝刂刂_od_a_q_kd_kd]
㓲	[户{扁下}刂_wm_ld_kd]
㓳	[日一龰刂_k_a_ii_kd]
㓴	[而大刂_gl_gd_kd]
㓵	[口口二㇉刂_j_j_bd_z_kd]
㓶	[丰刀大刂_ci_yd_gd_kd]
㓷	[自木刂_nl_f_kd]
㓸	[{亞}刂_bz_kd]
㓹	[厂火火刂_gg_uo_uo_kd]
㓺	[虍文刂_ih_so_kd]
㓻	[罒一止刂_lk_a_ii_kd]
㓼	[木人氺刂_f_od_kv_kd]
㓽	[山宀示刂_ll_wd_bk_kd]
㓾	[尸氺牛刂_xm_kv_mb_kd]
㓿	[禾人氺刂_mf_od_kv_kd]
㔀	[日亠口小刂_k_s_j_ko_kd]
㔁	[癶一口䒑刂_xs_a_j_ua_kd]
㔂	[米夕㐄刂_uf_rs_mb_kd]
㔃	[糹⺈巴刀_z_r_yia_yd]
㔄	[覀米刂_fj_uf_kd]
㔅	[肀{淵右}刂_xb_nd_kd]
㔆	[{匸}儿{匸}儿日刂_h_rd_h_rd_k_kd]
㔇	[癶弓殳刂_xs_yz_qx_kd]
㔈	[艹非刂_e_kc_kd]
㔉	[尸丿虫冂刂_xm_m_i_ld_kd]
㔊	[亠囗口日一刂_s_jd_j_k_a_kd]
㔋	[臣{⺮半}皿刂_h_m_lka_kd]
㔌	[耳又乑刂_ce_xs_gq_kd]
㔍	[⺮目廾刂_m_l_e_kd]
㔎	[{艸左}丿㠯辛刀_zi_m_y_se_yd]
㔏	[石石石刂_g_g_g_kd]
㔐	[⺮二非刂_m_bd_kc_kd]
㔑	[艹丿㠯辛刀_e_m_y_se_yd]
㔒	[山隹{冏}刂_ll_ni_ld_kd]
㔓	[千力_me_ym]
㔔	[力口㇣_ym_j_j]
㔕	[气力_my_ym]
㔖	[力口㇕_ym_j_x]
㔗	[弓{丿丨}力_yz_nd_ym]
㔘	[屮凵力_zi_zi_ym]
㔙	[䒑廾力_ua_e_ym]
㔚	[舌力_mi_ym]
㔛	[士口力_b_j_ym]
㔜	[爫子力_pv_ya_ym]
㔝	[一巾入入力_a_li_oda_oda_ym]
㔞	[千{北左}匕力_me_ti_rr_ym]
㔟	[生丸力_mc_qya_ym]
㔠	[日匃力_k_ry_ym]
㔡	[{囟框}㐅匕匕力_nj_os_rr_rr_ym]
㔢	[糹⺈巴力_z_r_yia_ym]
㔣	[田田田力_ki_ki_ki_ym]
㔤	[宀釆田力_wd_pf_ki_ym]
㔥	[罒厶⺝匕匕力_lk_zs_q_rr_rr_ym]
㔦	[{菐下}丶艮力_uc_s_xo_ym]
㔧	[虍田皿力_ih_ki_lka_ym]
㔨	[勹{北左}匕⺝_ry_ti_rr_q]
㔩	[勹土厶皿_ry_b_zs_lka]
㔪	[勹⺊囗※_ry_id_jd_os]
㔫	[𠂇匕_gd_rr]
㔬	[匕日十_rr_k_ed]
㔭	[匕日一龰_rr_k_a_ii]
㔮	[廿口二人厶⺝匕匕_ea_j_bd_od_zs_q_rr_rr]
㔯	[匚几口_h_qd_j]
㔰	[匚夕卜_h_rs_id]
㔱	[匚臼人_h_nb_od]
㔲	[匚飠九_h_ox_qy]
㔳	[匚飠几_h_ox_qd]
㔴	[匚田龷八_h_ki_ea_o]
㔵	[匚巳巳龷八_h_yyb_yyb_ea_o]
㔶	[匚立日十夂工貝_h_su_k_ed_rs_bi_lo]
㔷	[匸一冂人_h_a_ld_od]
㔸	[匸⺁虎_h_pd_ih]
㔹	[十力_ed_ym]
㔺	[十十㇗_ed_ed_z]
㔻	[不十_gi_ed]
㔼	[扌隹十_d_ni_ed]
㔽	[⺊囗口_id_jd_j]
㔾	[㔾_yyb]
㔿	[一丩_a_zi]
㕀	[由㔾_kia_yyb]
㕁	[㐅𠂇厶卩_os_gd_zs_y]
㕂	[厂人丶㇇_gg_od_s_x]
㕃	[厂一廾_gg_a_e]
㕄	[厂一㇜厶_gg_a_z_zs]
㕅	[厂甲_gg_kib]
㕆	[厂十口_gg_ed_j]
㕇	[厂立_gg_su]
㕈	[厂亠𧘇_gg_s_rh]
㕉	[厂人一口_gg_od_a_j]
㕊	[厂甫_gg_fb]
㕋	[厂金_gg_p]
㕌	[厂日一寸_gg_k_a_ds]
㕍	[厂隹_gg_ni]
㕎	[厂土厶皿_gg_b_zs_lka]
㕏	[厂一口䒑⺀十_gg_a_j_ua_td_ed]
㕐	[厂臼勹灬_gg_nb_ry_uo]
㕑	[厂士口䒑寸_gg_b_j_ua_ds]
㕒	[厂⺷手戈_gg_uc_md_hm]
㕓	[厂{柬中}土灬土_gg_lk_b_uo_b]
